,name,contents
742,살쏜디-왓,"과녘을 세우고 활을 쏘았던 밭
"
5669,싸는-물레," =좃는-물레. 물레
"
317,싸다,① 그만한 가치가 있다. ② 그래도 마땅하다(죽어도 싸다).
316,싸무랍다,사납다.
3353,쌀,살(矢. 扇骨. 輪.軸)
2083,쌀,⇒살
3705,쌀-문,#NAME?
920,쌀손장오리,"삼신인이 화살을 쏜 오름이란데서 연유
"
1198,쌈싸니-코지,"왜선들이 침범하여 격렬한 싸움을 벌였다하여 쌈싸니라 한다. 그곳에 곶이 있어 붙여진 이름
"
479,쌉다,싸우다.
5859,쌍-놈,상놈
2891,쌍-콩,콩(太豆)
315,써글라호다,매우 냉하다.
886,써금-바령,"소, 말 등을 밤에 풀어두었던 곳
"
2066,썩으래기,썩정이
314,썸찌근호다,썸찍호다. 지긋지긋하다.
478,썽내다,성내다.
313,쎄다," 씨다. 세다, 굳다, 튼튼하다."
3179,쎄외기,#NAME?
3166,쏘비네,⇒빈네
2738,쏙,#NAME?
6201,쏙,⇒쏘곱
2737,쏙-껍질,⇒거풀
656,쏙²,"여물
"
466,쏙다,속다.
2884,쏠,⇒곤쏠
2883,쏠-대죽,쌀수수
2734,쏠-댕유지,간 얇은 유자
6258,쏠-물,썰물
2007,쏠-바숨,보리쌀을 잘게 부수는 것
2882,쏠-방울,쌀알
3686,쏠-전방," =쏠-칩. 싸전
"
3685,쏠-칩,⇒쏠전방
2881,쏠찍,특별한 일에 쓰는 쌀
2673,쏴,쇠(鐵)
3157,쐐기,⇒쎄외기
1265,쐐배낭,고추나무
3897,쐬-닥지,부스럼 껍질이 굳은것
3152,쐬-비눔,쇠비름
3151,쐬-사오기,벚나무의 한가지
3337,쐬-손,흙손
2045,쐬길-낙,장난
6371,쐬내기,#NAME?
6370,쐬내기-주제,⇒쐬내기
3153,쐬돔박-낭,사람주나무
1613,쑤물,스물
4267,쒸,⇒쉬
1272,쓴너삼,고삼
5716,쓸-거,쓰개
4787,씨-깝,밑알
5835,씨-누이,시누이
5834,씨-방답,#NAME?
5939,씨-방상,⇒씨방답
5833,씨-아방,시아버지
5832,씨-어멍,시어머니
5831,씨-집,시집
2017,씨-집,시집
5715,씨견,⇒소중이
5940,씨누이-성제,시누이와 올캐
465,씨다,쓰다.
2018,씨레기,쓰레기
5938,씨앗,#NAME?
5937,씨왓,⇒씨앗
5330,씰,실(絲)
4611,씰-간저니,이마에 가는 흰줄이 있는 말
5664,씰-꼬리,⇒멘주기
5663,씰-도로기,⇒모뎅이
2011,씰-되쓸낙,실뜨기
5662,씰-모뒹이,⇒씰도로기
5349,씰-뱅구리,둥근 실감개
5661,씰-쳇,실반대
5329,씰-패,실패. 실감개
3129,씰거리-낭,①아카시아. ②잎은 아카시아 비슷하고 온 몸에 갈고리 모양의 가시가 나고 노란꽃이 피는 콩과에 속한 나무 이름
3890,씸,⇒심줄
4610,씸-줄거리,흘떼기
3889,씸줄,⇒씸
5328,씸지,심지
3888,씹-거울,씹거웃. 씹털
4786,씹이비죽-새,종달새의 별칭
2009,씽앵이,#NAME?
